,titluCarte,Bag_of_words
361,summer's lease,johnmortimer penguinbooksltd ['fiction' 'literary'] villa near small tuscan town everyth parget famili could want three week idyl turn sour molli begin wonder mysteri absente landlord
362,easy money,jennysiler st.martin'spress ['fiction' 'thrillers' 'general'] reader put deja dead top gritti gratifi debut bainbridg island earli even former toprank cia offic mysteri drown key west drugrunn found bullet lodg skull outsid seattl young woman arriv dimlylit bar pick comput disk wrap white handkerchief moment later stumbl upon bodi contact bathroom alli kerri pickup busi arrangementno hassl stringseasi money suddenli run someon set take fall know what stop noth conceal evid horrif crime reach back uncov brilliantli conceal oper vietnam war duck drug den spiral seedi strip joint blaze across countri jenni siler weav devast tale death decept dazzl
363,absolutely american: four years at west point,davidlipsky houghtonmifflincompany ['education' 'higher'] lipski roll stone writer awardwin novelist chronicl daili life us militari academi tumultu period historyin west point made david unpreced offer stay long like go wherev wish talk whomev want discov america promis young peopl sacrific much becom cadet follow one cadet class mess hall barrack classroom bar train exercis arriv graduat tell stori also examin reflect societi principl equal patriot honor quaint anachron still theodor roosevelt call absolut american institutiondur arguabl event four year point histori wit tv phone dorm room end haze innumer shift polici practic known collect chang uncov previous unreport scandal poignantli evok aftermath septemb must prepar offic wartimeabsolut spotlight remark ensembl charact former eagl scout struggl everi facet program classwork march foulmouth parti anim hate came play footbal farmrais kid seem perfect soldier despit affect earli work georgia okeeff exquisit turnedout femal aspir career hair nail armi classmat transform fascin sometim astonish way mytholog least understood challeng mani thrive rigor regimen other battl endlessli surviv give fight altogetherlipski extens experi cover colleg student help gain except degre trust candor administr frank insight drug use cheat romanc loyalti duti armi tortuou search mean new threat loom
364,six questions of socrates: a modern-day journey of discovery through world philosophy,christopherphillips w.w.norton&amp;company ['philosophy' 'history&surveys' 'general'] virtu moder justic courag good pieti socrat thought understand perspect other six great question would help becom excel human follow socratess footstep christoph phillipsjohnni applese master degre utn readerinvestig begin marketplac modernday athen goe investig time respons outlook peopl differ cultur background around world greec spain japan korea mexico citi chiapa region indigen struggl fundament right phillip also travel throughout unit state hold dialogu divers commun new york navajo nation introduc us less familiar thinker nonwestern tradit kindr spirit enlarg life creat innov survey philosophi
365,the size of thoughts: essays and other lumber,nicholsonbaker randomhouseinc ['literarycollections' 'essays'] novelist nicholson baker author mezzanin vox call vaniti fair best american writer gener collect decad worth essay journal includ controversi highli prais articl destruct librari card catalog subject rang intern movi projector emot tribul read aloud disappear hybrid punctuat mechan chang one mind lexicographi dirti talk manufactur fingernail clipper wed address studi notsorandom book use prop mailord recip final essay appear print first time pursu sever centuri prose poetri vagari word lumber metaphor content human becom tell dazzlingli pedant case fanatic scholarship beauti resid within piec ordinari languag
366,a single square picture: a korean adoptee's search for her roots,katyrobinson berkleypublishinggroup ['biography&autobiography' 'culturalheritage'] young korean woman describ adopt american famili salt lake citi utah return twenti year later seoul search birth mother discoveri becom outsid nativ land origin
367,the dress lodger,sheriholman pubgroupwest ['fiction' 'thrillers' 'general'] holman deliv stun explor sinist industri england prostitut dark secret nineteenthcenturi medic scienc reminisc instanc fingerpost iain pear work caleb carr dress lodger histor thriller charg distinctli modern voic
368,flipped,wendelinvandraanen alfreda.knopf ['youngadultfiction' 'humorous' 'general'] celebr year flippeda classic hesaidshesaid romant comedi updat anniversari edit offer storybehindthestori revel author wendelin van draanen first time saw flip ran second grade much chang seventh juli say bryce still walk around kiss six strateg avoid social discomfort eighth everyth get turn upsid think there mayb meet eye she he quit seem error told altern chapter two fresh funni voic contain page extra backmatt essay sourc inspir make movi shell never write sequel select amaz fan mail receiv award accolad slj top children novel iracbc choic ira teacher honor winner judi lopez memori awardwnba california young reader medal fantast book gutsi girl wise wonder end chicago tribun anoth eighthgrad hesaid shesaid romanc fast eggcel star review charismat lead ladi kid flip compel dynam narrat reson novel great deal larger sum part publish weekli
369,lighthouses (photographic tour (random house)),carolhighsmith crescent ['photography' 'photoessays&documentaries'] brand new origin photo guid fascin world lighthous coast beauti color photographi carol highsmith creator photograph tour pictori souvenir seri
370,chicken soup for the soul,jackcanfield healthcommunications ['self-help' 'personalgrowth' 'general'] two america bestlov inspir speaker share best collect stori favorit tale touch heart peopl everywher canfield hansen bring wit wisdom hope empower buoy life dark moment
